pid,ad_title,target_age_group,target_gender,target_mood,target_weather
LXWAXOFFOE5G0FG8,warm hoodie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
RP3H5T17W4DEMJCI,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
E1JB9697OO63H99C,tea pack for teenagers bringing simple in rainy weather,10-18,Male,neutral,rainy
MQIYOZ8WGRI0R1D1,raincoat for young adults bringing comfort in rainy weather,18-39,Male,Angry,rainy
4FF2JT85ARL9YS3X,warm hoodie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
PNGZ0V00LDJBKZLM,winter jacket for middle aged adults bringing simple in cold weather,40-64,Male,neutral,cold
WUTFUZJFGK2Q2IB4,umbrella for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
2VMA4HROGW19DYWC,windbreaker for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
BPRZBWHD07WOZ7TZ,hot coffee for adults bringing simple in cold weather,65+,Male,neutral,cold
EEYYO4P2C231Z9QH,soft gloves for kids bringing comfort in cold weather,Kids,Female,Angry,cold
BC53OF7E6ZN8BSBZ,waterproof boots for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
O9HRB4P4ZDCH0UZG,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
CGPG8FSBSETEPAMU,ladies umbrella for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
IECWV7X3RSBT0BPH,winter jacket for kids bringing comfort in cold weather,Kids,Male,Angry,cold
MULYLGBWAQ5J3Q9P,raincoat for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
U6UVNK6Q7GZ47OI8,tea pack for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
BEQDFS6TH91J07RH,ladies windbreaker for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
7XPRZ2FV6NXUB0PZ,moisture cream for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
09EIHFN2WDJZU8GU,winter jacket for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
BQB9OSYR29K5Q9NO,warm hoodie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
GC9YLISKKO7Q57JN,moisture cream for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
1RMQM7WQVVW86TOV,winter jacket for middle aged adults bringing comfort in cold weather,40-64,Female,Angry,cold
PGAY6G4KCMV6DHS0,cozy beanie for kids bringing delight in cold weather,Kids,Female,Happy,cold
GTJ1C9704FEJM4AY,raincoat for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
VN9QAC5SFPUL6YU9,ladies soft gloves for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
TPWLMLFK3Q6QJGAZ,winter jacket for adults bringing comfort in cold weather,65+,Male,Angry,cold
QJ07PLZNDIWXIB4M,tea pack for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
04XOA7MOMDUBZP1C,winter jacket for teenagers bringing simple in cold weather,10-18,Female,neutral,cold
50ZDUBFDLQPNTLXR,thermal wear for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
F2EV0PES613XZHA7,thermal wear for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
VR035QVHT1WQK89P,cozy beanie for kids bringing warmth in cold weather,Kids,Male,Sad,cold
SX0H2EBMO71UJCQC,waterproof boots for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
FEQD9RET13CAQ5HU,raincoat for adults bringing delight in rainy weather,65+,Female,Happy,rainy
Q13NIB67JN4JVKYX,soft gloves for kids bringing warmth in cold weather,Kids,Male,Sad,cold
2Q2K3AYEALBXHMAT,hot coffee for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
30F5JNTTB39HK3X4,umbrella for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
R4R3TR1NGKEBUPQ8,winter jacket for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
5E038136KWMIWY4M,raincoat for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
KAF6KJ28ZQ2JGWQX,moisture cream for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
4IE2KNVBUTTC9ET6,moisture cream for adults bringing delight in rainy weather,65+,Female,Happy,rainy
DVB39LB743JXGZ7I,warm hoodie for young adults bringing simple in cold weather,18-39,Female,neutral,cold
ZIUYE5IJ678UVTNY,umbrella for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
2MKQ14OB2E7HO8BR,ladies soft gloves for young adults bringing simple in cold weather,18-39,Female,neutral,cold
AAT9BPP0TUPBL1IW,waterproof boots for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
F3ABNPKK5XVDW3Q0,cozy beanie for kids bringing simple in cold weather,Kids,Male,neutral,cold
OF4WGA45565TD2VN,thermal wear for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
04KW58GCE4ITO1SS,ladies moisture cream for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
IA6EZOWMI6AT906A,ladies tea pack for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
0ABH8WGNXF2OCH52,winter jacket for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
5NRN4828MZ00H9QS,ladies warm hoodie for teenagers bringing delight in cold weather,10-18,Female,Happy,cold
31V9IRQWODRNDD09,tea pack for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
AWU136FTCY1T1CKR,ladies moisture cream for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
1Z6XF87XKHZRR1CM,thermal wear for middle aged adults bringing simple in cold weather,40-64,Male,neutral,cold
HQNDM1MES15M5KTE,hot coffee for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
7FO0ASEHEIKEERJ2,warm hoodie for adults bringing warmth in cold weather,65+,Female,Sad,cold
VUVZRE9PCJQ6FKJL,moisture cream for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
P1JXHEBIKLQRA1IZ,ladies hot coffee for teenagers bringing simple in cold weather,10-18,Female,neutral,cold
GTSLBWYGF2S7KNGX,waterproof boots for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
U717UX7T9LLHBKV3,tea pack for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
JTNDX7BCS59WCO2H,windbreaker for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
R74SGR7JJFV8W1O5,ladies warm hoodie for teenagers bringing delight in cold weather,10-18,Female,Happy,cold
2TI2O9IPCEQOFV7M,raincoat for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
I40K94LHERPE7QU2,raincoat for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
G4G1X2TW0AKH3FF8,cozy beanie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
NRVGNIQKLLJ8EIDL,soft gloves for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
QMMOLDHGO3TZUGYS,umbrella for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
OQBA0XRB54MVYKNQ,raincoat for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
ITKLD4EZF7JTGV6P,ladies moisture cream for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
XWHHA6G5P2B2O893,ladies soft gloves for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
9KCOBSHTL9NSSMWY,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
8A98XKEVYGHJVJH1,thermal wear for young adults bringing comfort in cold weather,18-39,Female,Angry,cold
JBPHBG6ACLOK5QAC,waterproof boots for young adults bringing simple in rainy weather,18-39,Female,neutral,rainy
NB8LKT014SQ9GZYG,umbrella for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
VUZ6QH3R5YAW4YFF,hot coffee for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
UDDX5F05CFR6SIR0,ladies waterproof boots for teenagers bringing delight in rainy weather,10-18,Female,Happy,rainy
QOWA737KICORPVW9,windbreaker for middle aged adults bringing warmth in rainy weather,40-64,Male,Sad,rainy
PV8JUHZIBSGJ9VO6,warm hoodie for teenagers bringing simple in cold weather,10-18,Male,neutral,cold
S4FPA543CHP6RX0L,tea pack for young adults bringing comfort in rainy weather,18-39,Male,Angry,rainy
VDKE9NJ8BFH42WYG,raincoat for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
B1BFKG73V82MKI64,ladies umbrella for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
FZOXGOHIE4BO5WBK,ladies soft gloves for kids bringing warmth in cold weather,Kids,Female,Sad,cold
N2RDX4F3CVU87030,cozy beanie for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
XC1JWPPTUJGPMZGW,cozy beanie for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
ITAX10WC4S0UNSKE,cozy beanie for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
QZ4NTPP1FP4CE576,cozy beanie for young adults bringing simple in cold weather,18-39,Male,neutral,cold
OKXD0O82D7VHK5OF,moisture cream for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
IIGEC3O39KDWG8S2,moisture cream for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
2FV4MOPE4BYWD0BQ,cozy beanie for adults bringing warmth in cold weather,65+,Female,Sad,cold
YXUWCP1SV2T8VQ0Q,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
KMCF1ABYHP0CABFE,ladies raincoat for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
MQBXLW6DDTJS2ZR4,tea pack for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
CHLSR3IDMYT1JDBQ,hot coffee for adults bringing delight in cold weather,65+,Male,Happy,cold
ODD70ZIF24GHGXTN,thermal wear for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
6UBIYRYGRAQGFJS9,windbreaker for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
5HQNE6S8ZNBP2IMR,warm hoodie for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
QOJU3W8LQO2DSX08,cozy beanie for young adults bringing delight in cold weather,18-39,Male,Happy,cold
RDMQFCIXD0RWJLEY,umbrella for adults bringing simple in rainy weather,65+,Male,neutral,rainy
89I92I4ZH5SFZ9Y9,moisture cream for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
ZOG18EUVW3IJRPPU,soft gloves for young adults bringing delight in cold weather,18-39,Male,Happy,cold
6PZZASPEXAMVH75T,soft gloves for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
8DCXJ1H9YJ4J21RF,warm hoodie for kids bringing comfort in cold weather,Kids,Female,Angry,cold
4JMZANERGGM4RDNK,windbreaker for adults bringing delight in rainy weather,65+,Female,Happy,rainy
72T70KVBYT03MQJG,moisture cream for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
SEM6F4TVOEPI0ZH2,hot coffee for teenagers bringing comfort in cold weather,10-18,Female,Angry,cold
PVXCBQ5226SHGNLQ,ladies cozy beanie for kids bringing simple in cold weather,Kids,Female,neutral,cold
JVLQK5PL0UJFNC9D,ladies moisture cream for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
9P5U9VSBNR3SXM8T,winter jacket for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
SNRVLS5Q27UB973S,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Female,Happy,rainy
OR1ZWHVTWZEUZYSJ,warm hoodie for young adults bringing simple in cold weather,18-39,Female,neutral,cold
6OHQGG43E4QU6ESX,tea pack for middle aged adults bringing simple in rainy weather,40-64,Male,neutral,rainy
VBSIW8DMNYCUQ2GD,raincoat for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
QDEPP3Q6XPFPAGGK,soft gloves for adults bringing warmth in cold weather,65+,Male,Sad,cold
4S2IIK3080O8NET7,umbrella for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
CEW9CEF2LF7FF1Q3,waterproof boots for young adults bringing warmth in rainy weather,18-39,Male,Sad,rainy
4QYXP9VPX4ZR890P,soft gloves for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
2A2LHYFLOI5YJUMY,ladies moisture cream for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
N31PD4YAOD2LZUW8,hot coffee for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
RZV4JSEZY5NSGCVU,windbreaker for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
ER1X8LB0CPLVUZ8E,windbreaker for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
07OS2SSIJQQETO9Z,hot coffee for middle aged adults bringing simple in cold weather,40-64,Male,neutral,cold
1UYAZV4U4DSAM98U,moisture cream for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
20ZQSEFVP5B1ZRLV,thermal wear for kids bringing warmth in cold weather,Kids,Male,Sad,cold
JHMJLA36RLGB8VR8,umbrella for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
KWJER07U14JMRT5M,soft gloves for adults bringing delight in cold weather,65+,Female,Happy,cold
GG0GKYAB3XUOKIJY,waterproof boots for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
AU90684J6H4W8O14,windbreaker for teenagers bringing comfort in rainy weather,10-18,Female,Angry,rainy
5XNLJXJKUPV3APRI,windbreaker for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
PBUWGN5IXFMV54SF,waterproof boots for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
1AXKL38LRKXE0BPO,raincoat for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
8VG4M180QZ0H49YT,tea pack for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
AGDAQ9JNOXB6BY6Z,umbrella for teenagers bringing simple in rainy weather,10-18,Male,neutral,rainy
Q62FY99Q8WEB1BKY,cozy beanie for kids bringing warmth in cold weather,Kids,Female,Sad,cold
2BZLVZJ05BTMCFXW,umbrella for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
ALH1243KX0QQYICN,raincoat for teenagers bringing delight in rainy weather,10-18,Female,Happy,rainy
UBZT6EGKAHRHRMP8,umbrella for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
FF5XBS8G4OY4420L,tea pack for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
AZPJF4M8NFRTBG04,tea pack for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
5OOT828SXW7GH45X,waterproof boots for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
XLJO2N2YH03YMDO7,soft gloves for young adults bringing simple in cold weather,18-39,Female,neutral,cold
43OJZXH8NBNY6UYK,raincoat for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
DYNSYL4LHFFN8T3Q,ladies raincoat for middle aged adults bringing delight in rainy weather,40-64,Female,Happy,rainy
27IATNFUQUN0P1JX,cozy beanie for teenagers bringing simple in cold weather,10-18,Female,neutral,cold
DA030OYO0HA0248K,moisture cream for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
LPRK2CAEQRY0WT3Q,ladies moisture cream for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
NUX4TEBRFKWIXIJU,soft gloves for teenagers bringing delight in cold weather,10-18,Female,Happy,cold
GMIPW6306ARYFMX5,ladies raincoat for young adults bringing warmth in rainy weather,18-39,Female,Sad,rainy
YJ6NG33S3YLZRW3E,windbreaker for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
6HPDLRYX0PGBPS4K,cozy beanie for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
QWMP4ECXVC270UY2,umbrella for teenagers bringing warmth in rainy weather,10-18,Male,Sad,rainy
Y2JU5CXL4UCW8NCW,windbreaker for young adults bringing comfort in rainy weather,18-39,Female,Angry,rainy
606P3NTHS99QFAAF,waterproof boots for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
2WDLYR2W58X2C6IP,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
EFLX2PQFLPGC5JYL,umbrella for middle aged adults bringing warmth in rainy weather,40-64,Male,Sad,rainy
RNEL0LDO8W2NNSSJ,raincoat for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
S28VPKCOVK2ION51,cozy beanie for adults bringing simple in cold weather,65+,Female,neutral,cold
3JLE8UIGV1QA0UIX,hot coffee for teenagers bringing delight in cold weather,10-18,Female,Happy,cold
SD1XE90ATWVIP1TA,moisture cream for young adults bringing comfort in rainy weather,18-39,Male,Angry,rainy
XC8DLR24FV4WUZKI,tea pack for kids bringing comfort in rainy weather,Kids,Male,Angry,rainy
ISXVY9NXZJ3687RC,tea pack for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
4D9G6S9J15ED92BS,raincoat for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
4LNLES9O2EPHFB5B,soft gloves for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
TKNMHT82OW38YFXB,umbrella for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
KSN3WMAH8TBBPEDS,windbreaker for adults bringing simple in rainy weather,65+,Male,neutral,rainy
NZ7BNIGD522BRT6H,moisture cream for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
X42XWMGUKGQ9BELP,tea pack for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
LP9LDD2MFVRSOCHD,cozy beanie for kids bringing warmth in cold weather,Kids,Female,Sad,cold
ZHG4KAKZWMVW1C85,umbrella for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
2H2XGNTYSPF38922,ladies warm hoodie for adults bringing warmth in cold weather,65+,Female,Sad,cold
73TTIHXULI458Q7D,raincoat for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
LVSB8MP8S8YGHTRB,soft gloves for young adults bringing delight in cold weather,18-39,Female,Happy,cold
QMPOHJWCYXGT4JLE,raincoat for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
FHM5T9R4GNDMJ1VC,umbrella for kids bringing delight in rainy weather,Kids,Female,Happy,rainy
N1Z5AY8F578N9JMU,hot coffee for middle aged adults bringing delight in cold weather,40-64,Male,Happy,cold
BWQGJ0YHNLYXARPL,tea pack for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
233BX6DUL3921DYX,ladies hot coffee for teenagers bringing warmth in cold weather,10-18,Female,Sad,cold
L3RJ9C4CZ4AAGDCM,windbreaker for teenagers bringing comfort in rainy weather,10-18,Male,Angry,rainy
IBUSAMCQBHEXNYVO,soft gloves for kids bringing warmth in cold weather,Kids,Male,Sad,cold
WWATPH9JBPQRTHO5,windbreaker for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
SSC3N1DJ9QRC01OE,winter jacket for adults bringing simple in cold weather,65+,Male,neutral,cold
54984I2GWMH86O42,ladies hot coffee for adults bringing comfort in cold weather,65+,Female,Angry,cold
FYI6MCF36ZRKGVDP,thermal wear for kids bringing simple in cold weather,Kids,Female,neutral,cold
KNTRU5W5KTX9F0P2,tea pack for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
B3L03QSY8VV2OH8S,thermal wear for middle aged adults bringing simple in cold weather,40-64,Male,neutral,cold
7ML1K5TOFHSQ8BKQ,tea pack for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
AY7BOLUEDUWLMJ5T,ladies soft gloves for middle aged adults bringing warmth in cold weather,40-64,Female,Sad,cold
2X4R3UWIHU35KFG4,ladies raincoat for adults bringing simple in rainy weather,65+,Female,neutral,rainy
S65MVPPYF1YZTHEQ,cozy beanie for kids bringing delight in cold weather,Kids,Male,Happy,cold
7B0W33898I2S7BIC,waterproof boots for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
WITXTV5TSOP5QXDQ,windbreaker for kids bringing simple in rainy weather,Kids,Male,neutral,rainy
5RHPFLBMJHVTJXI0,umbrella for middle aged adults bringing simple in rainy weather,40-64,Male,neutral,rainy
7XLAK7I3JVYJLNR1,windbreaker for teenagers bringing delight in rainy weather,10-18,Male,Happy,rainy
JO27LEUE2YOAIS8J,warm hoodie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
PQ3437POEM9EFL21,umbrella for young adults bringing simple in rainy weather,18-39,Male,neutral,rainy
DZ2CQ17JS4C5HY75,waterproof boots for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
0C9NZKRURIZ7H8CW,soft gloves for kids bringing warmth in cold weather,Kids,Male,Sad,cold
EEQP90AV8406GP29,thermal wear for teenagers bringing comfort in cold weather,10-18,Male,Angry,cold
ZIOOWUWJGLR8O3BE,raincoat for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
B5Z40ZJKKFNDI31M,cozy beanie for teenagers bringing warmth in cold weather,10-18,Female,Sad,cold
BEBJTGYKDXTX5GXT,tea pack for kids bringing comfort in rainy weather,Kids,Female,Angry,rainy
SCWF7NMLDRVHFKF3,hot coffee for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
ICZHMC7SEQKC0OOT,windbreaker for kids bringing simple in rainy weather,Kids,Female,neutral,rainy
JDJ2VJZTAP0FWW85,tea pack for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
CN1UGPK98LPZ1AI7,ladies warm hoodie for young adults bringing simple in cold weather,18-39,Female,neutral,cold
0YXW2FDYHZHZHTX3,waterproof boots for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
D4HC7Q6D772SC9BK,ladies tea pack for teenagers bringing simple in rainy weather,10-18,Female,neutral,rainy
971B1DMZWZAJC8U4,moisture cream for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
SJYFC8K7CCQA9M48,tea pack for teenagers bringing warmth in rainy weather,10-18,Female,Sad,rainy
4FHF3FBSXOVQD9NM,moisture cream for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
845E1INT16HNIEMW,ladies umbrella for teenagers bringing delight in rainy weather,10-18,Female,Happy,rainy
89Z7F55UDEUP8VI1,thermal wear for adults bringing simple in cold weather,65+,Male,neutral,cold
CBNQ5E417FM3YRPI,winter jacket for adults bringing warmth in cold weather,65+,Male,Sad,cold
1Y8STC2FGAHMQRGP,umbrella for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
EALGE9OJGAE5WKZ9,moisture cream for kids bringing delight in rainy weather,Kids,Male,Happy,rainy
816H7PKEJKLXETYZ,windbreaker for adults bringing simple in rainy weather,65+,Female,neutral,rainy
XQLQBC2EOI552CL9,thermal wear for kids bringing warmth in cold weather,Kids,Female,Sad,cold
C075COFJPM0NJDDI,soft gloves for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
AFV5HDXDPES3A5KZ,ladies waterproof boots for adults bringing warmth in rainy weather,65+,Female,Sad,rainy
95KT4ZFGPVVRGGJ1,windbreaker for young adults bringing delight in rainy weather,18-39,Female,Happy,rainy
6VN7Z3G1YC5J7CUY,hot coffee for kids bringing comfort in cold weather,Kids,Female,Angry,cold
B4AYSFA8XNSWV1MT,umbrella for kids bringing warmth in rainy weather,Kids,Male,Sad,rainy
5AW6LHNUHYI5L6OV,windbreaker for adults bringing simple in rainy weather,65+,Male,neutral,rainy
IU3X9HCM2U4MVOPW,ladies waterproof boots for kids bringing warmth in rainy weather,Kids,Female,Sad,rainy
3ROX8UIME6AX7WH2,ladies tea pack for kids bringing comfort in rainy weather,Kids,Female,Angry,rainy
6BUT5AAI0CISUWI0,hot coffee for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
1AUMCBS0EPHWG93B,cozy beanie for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
KLKQ7HLE45PVQ59T,umbrella for middle aged adults bringing simple in rainy weather,40-64,Female,neutral,rainy
SWVPQ991TWFXR24D,soft gloves for adults bringing comfort in cold weather,65+,Male,Angry,cold
GPA6DWGHGU9R0F4W,waterproof boots for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
CRTB81I6ACO6T2IU,thermal wear for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
PX6RCCHXKDRQNTFL,hot coffee for young adults bringing simple in cold weather,18-39,Female,neutral,cold
9DW3VNI21AJ37I0N,moisture cream for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
EI5JQMY56VLMC47A,winter jacket for teenagers bringing delight in cold weather,10-18,Male,Happy,cold
AYNEMRF95GVYPBMK,winter jacket for adults bringing warmth in cold weather,65+,Female,Sad,cold
NYIU7D5I1ZFQSZ3E,thermal wear for kids bringing comfort in cold weather,Kids,Male,Angry,cold
J5GFQG70EQSGSTW5,windbreaker for adults bringing comfort in rainy weather,65+,Male,Angry,rainy
4FZFKCGLFCH9BV50,soft gloves for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
6TQO366C7OM0Y68L,winter jacket for adults bringing simple in cold weather,65+,Male,neutral,cold
G3WJJ34MRUO44NBX,winter jacket for adults bringing delight in cold weather,65+,Female,Happy,cold
F3OULQ0N9EGRXMPY,thermal wear for young adults bringing delight in cold weather,18-39,Male,Happy,cold
BPHLENXF86PM79VA,ladies soft gloves for middle aged adults bringing delight in cold weather,40-64,Female,Happy,cold
4PQOXQTZTPD8D6OW,ladies windbreaker for middle aged adults bringing warmth in rainy weather,40-64,Female,Sad,rainy
S971Q29OPN025J04,ladies raincoat for teenagers bringing delight in rainy weather,10-18,Female,Happy,rainy
RCRNUYQO8NG5LP5D,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
F6YM0TQTKBW6LJ6K,winter jacket for middle aged adults bringing comfort in cold weather,40-64,Male,Angry,cold
CEXM64T0ZL70MC89,moisture cream for middle aged adults bringing delight in rainy weather,40-64,Female,Happy,rainy
FV41AL8YM4V774MT,warm hoodie for young adults bringing comfort in cold weather,18-39,Male,Angry,cold
YJ3490XY2BI2Q8JS,waterproof boots for middle aged adults bringing delight in rainy weather,40-64,Male,Happy,rainy
GNEML1B8HZQ98SV4,hot coffee for young adults bringing warmth in cold weather,18-39,Female,Sad,cold
QAGHRFZOPP6PQESZ,ladies thermal wear for young adults bringing simple in cold weather,18-39,Female,neutral,cold
2QGH3BF1OATYL8XM,thermal wear for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
FJLOJ8X98SZHNKFB,thermal wear for adults bringing comfort in cold weather,65+,Male,Angry,cold
66NGGPRYGK7RA18X,warm hoodie for teenagers bringing warmth in cold weather,10-18,Male,Sad,cold
H4ZZBOYBA0O160B8,thermal wear for kids bringing simple in cold weather,Kids,Male,neutral,cold
3YMI8ZD5YTY44HYU,soft gloves for adults bringing comfort in cold weather,65+,Female,Angry,cold
CXMMHI98K3ZP1GOT,umbrella for middle aged adults bringing comfort in rainy weather,40-64,Female,Angry,rainy
UUOQPLBT048MNHKK,warm hoodie for young adults bringing delight in cold weather,18-39,Female,Happy,cold
PM87BXPGHLNBZUOA,moisture cream for teenagers bringing delight in rainy weather,10-18,Female,Happy,rainy
K3XKAISAX5SPJEGI,soft gloves for adults bringing simple in cold weather,65+,Male,neutral,cold
GVY5S6PO479TLSFQ,cozy beanie for young adults bringing warmth in cold weather,18-39,Male,Sad,cold
6JYU3X5KTLE09C0V,umbrella for middle aged adults bringing comfort in rainy weather,40-64,Male,Angry,rainy
1W64K4C97YD0Z69D,tea pack for young adults bringing delight in rainy weather,18-39,Male,Happy,rainy
VNQFNOIXG3KKVFTE,cozy beanie for middle aged adults bringing warmth in cold weather,40-64,Male,Sad,cold
HG0SIL9TJBY9WWU5,moisture cream for adults bringing warmth in rainy weather,65+,Male,Sad,rainy
2ALNZTGZHWWL5E8Z,raincoat for adults bringing delight in rainy weather,65+,Male,Happy,rainy
TAYFRMQE7O12IIFJ,windbreaker for adults bringing comfort in rainy weather,65+,Female,Angry,rainy
